date,time,headline,source_publisher,source_date,archetype,hook_type,photo_file,destination,post_id,format,channel
2026-09-28,08:06:44,The ICO has named eight ways an AI agent can put you on the wrong side of data law,ICO,2026-01-08,policy-note,number-first,work/laptop-desk-u1-2.jpg,/industries/professional-services,6aaad2110ef3cc67c26e1858,,page
2026-09-28,12:44:12,Four UK documents that would cost you money anywhere else,various,2026-08-20,roundup,flat-claim,,none,6aaad21aaa221af9bff72d49,,page
2026-09-28,15:53:31,"The government's new AI risk toolkit is a spreadsheet, and it is free",DSIT,2026-09-08,policy-note,flat-claim,work/office-open-u4.jpg,/resources/ai-policy,6aa9f7fedfcd8cd99b813f67,,page
2026-09-29,07:42:37,The NCSC will give a small UK business 30 minutes of cyber advice for nothing,NCSC,2026-07-15,share,named-thing,work/factory-u1.jpg,none,6aaad2320ef3cc67c26e212e,,page
2026-09-29,16:18:24,"Four surveys, four numbers",various,2026-09-17,roundup,number-first,,none,6ab10b0b69fbba0eaabee2f0,,page
2026-09-30,08:12:39,"What stops small firms, and what to do",Simply Business,2026-09-08,actionable-list,number-first,,/insights/ai-usage-policy-uk-template,6ab10b16f9d9e9104e747210,,page
2026-09-30,16:03:52,Yoshua Bengio has written down why AI agents lie,Yoshua Bengio,2026-09-11,share,named-thing,people/yoshua-bengio.jpg,none,6ab10b29896f7a4455b953eb,,page
2026-10-01,07:56:18,A prompt is a job description,AIFC,2026-09-21,actionable-list,flat-claim,,/prompts,6ab10b30896f7a4455b954e0,,page
2026-10-01,13:04:47,Five jobs for the assistant now in Word,OpenAI,2026-09-17,actionable-list,imperative,,/industries/professional-services,6ab10b3badfe7a7c91e79665,,page
2026-10-01,16:26:41,Before you let an agent near your systems,NCSC,2026-08-20,actionable-list,imperative,,none,6aaad1ff9c269640efb59da8,,page
2026-10-02,12:22:11,Four Copilot changes with dates on them,Microsoft 365 Roadmap,2026-09-21,roundup,number-first,,/insights/microsoft-365-copilot-rollout-plan,6ab10bf8896f7a4455b96aac,,page
2026-10-02,16:37:56,Eight things to stop pasting into AI at work,NCSC,2026-09-07,actionable-list,imperative,,none,6aaad1a4fc5a88693189a62f,,page
2026-10-05,08:14:26,Three numbers to count four weeks after any AI training,AIFC,2026-09-16,actionable-list,number-first,work/whiteboard-u2.jpg,/insights/measure-ai-adoption-three-numbers,6aaad1c09c269640efb59879,,page
2026-10-05,12:41:08,Six jobs to hand your assistant this week,AIFC,2026-09-16,actionable-list,imperative,,/prompts,6aaad20afc5a88693189ae1f,,page
2026-10-05,16:07:35,What to say when a client asks if you used AI,ICO,2026-01-08,guide,flat-claim,,/insights/ai-usage-policy-uk-template,6aaad1989c269640efb596f1,,page
2026-10-06,07:52:19,Four prompts for work you already have,AIFC,2026-09-21,actionable-list,number-first,,/resources/prompt-library,6ab10b5af9d9e9104e747bc2,,page
